TRACT,YEAR,MONTH,AGGASS,ARSON,BURGLARY,CMIS,DRUGS,GAMBLING,LARCENY,MENACING,MVTHEFT,MURDER_MANSLAUGHTER,DISCONDUCT,PROSTITUTION,RAPE,ROBBERY,SIMPASS,TRESPASS,WEAPONS,VCI,P1P,P1V
36055000700,2000,4,0,0,2,5,1,0,3,0,1,0,0,0,0,2,3,0,0,9,8,2
36055000700,2000,5,1,0,1,4,1,0,6,0,0,0,5,0,0,0,0,0,3,13,7,1
36055000700,2000,6,0,2,4,1,5,0,0,0,1,1,2,0,0,1,1,0,0,11,6,2
36055000700,2000,7,0,2,0,1,2,0,3,0,1,0,2,0,0,0,0,1,2,9,4,0
36055000700,2000,8,2,1,0,5,3,0,6,0,1,0,4,0,0,1,0,0,0,13,8,3
36055000700,2000,9,1,0,1,2,4,0,2,0,0,0,1,0,0,1,0,0,2,9,4,2
36055000700,2000,10,0,0,0,2,0,0,1,0,0,0,2,1,0,1,0,0,1,5,2,1
36055000700,2000,11,0,0,0,0,4,0,4,0,1,0,2,0,0,1,1,0,0,7,6,1
36055000700,2000,12,0,0,0,0,5,0,1,0,1,0,4,0,0,1,1,0,0,10,3,1
36055000700,2001,1,1,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,1,5,2
36055000700,2001,2,0,0,1,10,2,0,2,0,0,0,3,0,1,1,1,0,0,16,4,2
36055000700,2001,3,0,0,3,2,1,0,4,0,0,0,2,0,0,0,2,0,0,7,7,0
36055000700,2001,4,0,0,1,0,1,0,2,0,0,0,5,0,0,1,2,0,0,8,4,1
36055000700,2001,5,0,0,3,1,3,0,0,0,0,0,7,0,0,1,3,0,1,15,4,1
36055000700,2001,6,0,0,2,2,0,0,1,0,0,0,2,0,0,1,3,0,0,7,4,1
36055000700,2001,7,0,1,1,1,3,0,2,0,0,0,4,0,0,0,2,0,3,14,3,0
36055000700,2001,8,0,1,0,4,1,0,0,0,0,0,4,0,0,0,0,0,1,11,0,0
36055000700,2001,9,0,1,0,2,5,0,5,0,0,0,6,0,0,0,4,0,0,18,5,0
36055000700,2001,10,0,1,0,2,3,0,1,0,0,0,4,0,0,1,0,1,3,13,2,1
